Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
2,1650559246619,21/04/2022 16:40:46,1650559245826,-7,21/04/2022 09:40:45,86280,3,questionnaire-j7ji,,21412622,BLIND,6334226,,complete,,,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,390x844,390x562,,Ethics Dark Patterns,4,No,response-1,55-64 years old
3,1650559246806,21/04/2022 16:40:46,1650559245830,-7,21/04/2022 09:40:45,86280,3,questionnaire-j7ji,,21412622,BLIND,6334226,,complete,,,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,390x844,390x562,,Ethics Dark Patterns,4,No,response-1-quantised,7
4,1650559246806,21/04/2022 16:40:46,1650559245830,-7,21/04/2022 09:40:45,86280,3,questionnaire-j7ji,,21412622,BLIND,6334226,,complete,,,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,390x844,390x562,,Ethics Dark Patterns,4,No,response-2-hour,09
5,1650559246806,21/04/2022 16:40:46,1650559245830,-7,21/04/2022 09:40:45,86280,3,questionnaire-j7ji,,21412622,BLIND,6334226,,complete,,,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,390x844,390x562,,Ethics Dark Patterns,4,No,response-2-minute,36
6,1650559246806,21/04/2022 16:40:46,1650559245830,-7,21/04/2022 09:40:45,86280,3,questionnaire-j7ji,,21412622,BLIND,6334226,,complete,,,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,390x844,390x562,,Ethics Dark Patterns,4,No,response-3,"""No I don't want to protect my $350 trip"""
7,1650559246806,21/04/2022 16:40:46,1650559245830,-7,21/04/2022 09:40:45,86280,3,questionnaire-j7ji,,21412622,BLIND,6334226,,complete,,,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,390x844,390x562,,Ethics Dark Patterns,4,No,response-3-quantised,2
8,1650559246806,21/04/2022 16:40:46,1650559245830,-7,21/04/2022 09:40:45,86280,3,questionnaire-j7ji,,21412622,BLIND,6334226,,complete,,,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,390x844,390x562,,Ethics Dark Patterns,4,No,response-4,the things in the paragraph to the left are covered by the law. it isnunclesr what extras you get from the 30$ extra 
9,1650559246806,21/04/2022 16:40:46,1650559245830,-7,21/04/2022 09:40:45,86280,3,questionnaire-j7ji,,21412622,BLIND,6334226,,complete,,,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,390x844,390x562,,Ethics Dark Patterns,4,No,response-5-hour,09
10,1650559246806,21/04/2022 16:40:46,1650559245830,-7,21/04/2022 09:40:45,86280,3,questionnaire-j7ji,,21412622,BLIND,6334226,,complete,,,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,390x844,390x562,,Ethics Dark Patterns,4,No,response-5-minute,39
11,1650559246806,21/04/2022 16:40:46,1650559245830,-7,21/04/2022 09:40:45,86280,3,questionnaire-j7ji,,21412622,BLIND,6334226,,complete,,,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,390x844,390x562,,Ethics Dark Patterns,4,No,response-6,Do not purchase Optional Flight Protection for $30
12,1650559246806,21/04/2022 16:40:46,1650559245830,-7,21/04/2022 09:40:45,86280,3,questionnaire-j7ji,,21412622,BLIND,6334226,,complete,,,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,390x844,390x562,,Ethics Dark Patterns,4,No,response-6-quantised,2
13,1650559246806,21/04/2022 16:40:46,1650559245831,-7,21/04/2022 09:40:45,86280,3,questionnaire-j7ji,,21412622,BLIND,6334226,,complete,,,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,390x844,390x562,,Ethics Dark Patterns,4,No,response-7,you are allowed to skip the long line of angry customers
14,1650559246806,21/04/2022 16:40:46,1650559245831,-7,21/04/2022 09:40:45,86280,3,questionnaire-j7ji,,21412622,BLIND,6334226,,complete,,,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,390x844,390x562,,Ethics Dark Patterns,4,No,response-8-hour,09
15,1650559246806,21/04/2022 16:40:46,1650559245831,-7,21/04/2022 09:40:45,86280,3,questionnaire-j7ji,,21412622,BLIND,6334226,,complete,,,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,390x844,390x562,,Ethics Dark Patterns,4,No,response-8-minute,40
16,1650559246806,21/04/2022 16:40:46,1650559245831,-7,21/04/2022 09:40:45,86280,3,questionnaire-j7ji,,21412622,BLIND,6334226,,complete,,,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,390x844,390x562,,Ethics Dark Patterns,4,No,END QUESTIONNAIRE,306781
1,1650559801365,21/04/2022 16:50:01,1650559801008,-7,21/04/2022 09:50:01,86280,3,questionnaire-j7ji,,21413211,BLIND,6334434,,complete,,,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,428x926,428x684,,Ethics Dark Patterns,4,No,BEGIN QUESTIONNAIRE,
2,1650560141253,21/04/2022 16:55:41,1650560140215,-7,21/04/2022 09:55:40,86280,3,questionnaire-j7ji,,21413211,BLIND,6334434,,complete,,,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,428x926,428x684,,Ethics Dark Patterns,4,No,response-1,55-64 years old
